UF,idade,anosest,rendtrabprinc
13,49,12,8000
52,37,16,5000
27,55,12,5000
27,38,16,3000
21,49,12,5000
41,55,14,5500
11,44,15,4000
22,34,16,3900
14,31,16,5000
25,57,12,3800
22,54,11,4350
50,31,16,2000
33,42,12,1100
21,41,16,6000
27,28,16,4500
14,42,16,15000
33,39,16,5000
14,32,14,3600
33,42,16,11000
28,42,12,5000
50,42,16,5000
14,39,14,9000
53,37,16,11000
29,51,12,1100
33,44,13,7000
21,33,15,1800
31,35,16,4000
31,49,12,8800
53,37,14,5000
33,36,15,2700
31,32,16,4000
33,36,16,5200
14,46,12,7000
53,54,16,12000
31,45,16,16000
25,37,16,12000
33,34,13,5000
15,48,12,5800
32,48,16,15000
53,34,16,3500
17,34,16,6000
15,52,16,6000
32,55,16,14000
12,42,16,6500
25,25,15,3500
31,31,16,5300
53,55,14,12000
12,35,15,5000
25,38,12,1100
52,44,14,10000
15,48,12,4500
14,34,16,3600
22,52,9,3900
53,27,16,5000
29,29,16,7000
12,49,16,15000
32,33,12,5800
52,36,16,10000
26,46,16,5000
12,47,13,8465
33,32,12,1250
32,55,16,10000
31,31,16,6600
28,40,16,3000
33,38,16,6000
23,43,12,4000
43,55,12,10000
53,47,16,19000
11,33,16,4500
25,31,16,3100
35,48,16,30000
28,27,16,9000
13,53,14,8500
41,42,16,6000
50,40,12,5100
31,42,14,5000
29,28,14,4400
16,47,12,6000
41,32,16,4000
22,32,16,3500
12,30,15,5000
33,35,12,10000
14,36,15,3300
33,38,12,5000
52,30,16,8000
14,42,14,5000
13,41,12,7200
53,54,16,25000
31,39,16,7500
13,48,12,13000
11,44,16,5000
33,46,12,7000
27,50,13,5000
12,42,16,17000
43,42,16,22000
13,39,16,8000
21,51,12,1400
35,35,16,15000
23,30,16,3500
53,50,16,8000
28,51,12,6500
35,41,12,5000
33,48,12,6000
35,29,12,2200
53,36,16,9000
51,32,12,7000
35,35,12,5000
31,44,12,8000
15,29,14,3000
33,37,12,3500
33,35,12,3000
33,48,12,1800
43,37,15,8000
12,38,13,5000
13,48,12,1600
16,41,16,8000
27,30,15,5000
50,49,16,7500
43,31,12,6000
21,34,12,4500
35,30,16,2500
24,43,12,6000
33,54,16,10000
33,29,12,1200
53,38,15,8000
27,33,16,4000
53,49,16,6000
51,26,16,5000
21,59,12,5000
23,28,16,4000
52,42,16,19000
16,36,16,5000
12,40,16,9000
23,36,16,4000
14,40,16,10000
43,33,12,4600
51,39,16,9050
53,42,16,9000
11,33,16,2000
53,46,14,6000
12,36,16,4000
51,53,12,6500
53,42,16,9646
28,59,12,7600
35,48,12,6000
52,36,16,7000
52,52,16,6000
43,32,16,4600
53,34,15,9000
50,31,12,3000
17,44,15,8000
50,43,12,5300
11,36,12,5000
23,31,14,4000
12,47,16,7000
53,32,16,7000
31,37,16,4000
33,47,14,7000
12,32,16,10000
52,44,16,25000
26,48,16,12000
23,33,16,5500
53,57,12,6000
53,42,14,10000
12,33,14,5200
33,53,14,6000
33,41,16,14000
14,29,15,3000
53,43,16,10000
21,38,12,7000
16,45,12,6000
53,52,14,11000
16,33,16,9500
13,38,16,3000
14,43,12,10000
53,37,16,8000
35,41,16,4500
53,31,16,6000
21,36,16,4500
14,39,16,7000
21,35,16,4000
53,30,16,7000
11,47,16,6200
53,48,14,13000
51,37,12,5000
13,36,12,5000
14,38,16,6000
14,35,15,15200
33,35,15,5000
13,41,12,4930
21,40,16,7000
50,48,16,8000
33,56,12,8000
25,48,16,2000
53,37,16,14000
33,46,16,16000
14,38,12,4000
13,44,12,5500
53,48,12,6000
12,39,12,4000
53,29,16,7000
33,45,16,7500
42,39,16,21000
33,47,12,7200
50,33,16,4500
16,40,16,5000
12,51,16,5000
14,47,14,4000
33,32,16,8000
21,58,16,4500
50,53,12,7000
31,26,14,2100
27,56,15,3500
33,33,12,5500
33,44,16,6500
53,45,16,11000
