UF,idade,anosest,rendtrabprinc
32,51,16,2500
17,50,16,15000
13,36,16,2500
22,43,16,3300
41,53,16,2700
21,40,16,8000
12,46,16,2000
21,50,16,4000
25,48,16,2000
28,33,14,1500
11,41,16,3500
33,37,16,5000
42,51,16,20000
32,51,16,17000
42,33,16,4000
42,45,16,5000
35,35,16,4000
33,28,16,1200
35,54,16,20000
32,34,16,8000
33,58,16,3000
33,36,16,24000
25,26,16,2000
33,31,16,2000
50,38,16,2000
23,26,16,8000
41,34,16,1600
15,46,16,7000
13,53,16,5500
43,48,16,5400
13,48,16,10000
33,39,16,20000
41,28,16,10000
33,40,16,10000
22,39,16,2500
31,29,16,2000
52,33,16,4900
41,54,16,2500
33,35,16,3000
33,26,16,3500
35,33,16,4000
26,48,16,20000
31,26,16,10000
35,38,16,2000
42,38,12,4000
24,38,16,5000
23,58,16,2500
41,45,16,4200
15,29,16,4400
29,37,16,3000
28,39,16,5000
24,27,14,3000
41,29,16,1600
42,43,16,3001
23,26,16,3000
35,31,16,2300
26,38,16,2000
33,39,16,8500
50,56,16,6000
32,45,14,1600
33,30,16,5000
23,58,16,15000
41,38,16,50000
27,27,16,6500
50,36,16,8000
53,47,16,7000
53,33,16,12000
27,35,16,3500
33,43,16,4200
41,47,16,6000
26,59,16,19000
28,34,16,2200
52,47,16,8000
29,47,16,6600
42,47,16,2000
42,57,16,4000
41,54,16,1500
23,31,16,1500
53,45,16,11000
43,53,16,12000
33,41,16,2300
33,40,15,4000
33,25,16,3300
33,31,16,3300
15,44,16,6000
24,32,16,3000
23,44,16,1845
51,47,16,7000
33,30,16,5000
52,33,16,8500
22,27,16,3000
35,37,14,4000
53,32,16,6400
53,28,14,3000
25,49,16,8000
32,32,16,4500
53,46,16,11000
13,34,16,2500
32,59,16,5000
12,44,16,5500
21,41,16,5000
31,27,16,3500
31,36,16,2200
26,59,16,3500
33,28,16,3800
33,25,16,4200
53,58,16,5000
26,48,16,15000
31,31,16,2300
31,38,16,5000
35,44,16,8750
29,54,16,5000
43,26,16,7000
22,39,16,12000
31,40,16,5000
35,51,14,2300
32,44,16,7000
42,29,16,5000
33,44,16,6500
33,58,16,10000
13,28,16,2500
41,44,16,4000
33,39,16,10050
31,27,16,8000
31,56,16,15000
23,57,12,3800
33,28,16,2000
33,47,16,12000
31,32,16,6500
31,35,16,10300
35,35,12,4500
23,42,16,1800
35,38,14,4000
33,39,16,3200
33,44,16,3200
12,58,16,12000
31,35,16,4000
29,43,16,2200
31,38,16,2300
33,25,16,5000
43,55,16,7500
43,51,16,3500
53,41,16,7000
33,40,16,4000
13,41,16,2000
33,35,16,10000
52,53,13,10000
33,42,16,3000
35,26,16,3300
35,32,16,10000
41,39,16,5500
53,40,16,13000
42,51,16,6000
33,42,14,800
33,27,16,3000
13,38,16,2000
53,55,16,17000
12,38,16,7000
53,40,16,22500
32,39,16,5000
53,41,16,5000
50,49,16,3300
41,29,16,6000
33,59,16,5500
35,28,16,1000
31,41,16,5000
33,30,16,4000
29,52,16,2200
35,51,16,5000
35,32,16,9000
28,58,16,14000
11,46,16,3000
33,27,15,1500
35,40,16,6000
35,33,16,3600
33,33,16,4000
35,42,16,2500
35,32,14,3700
41,30,16,10000
35,31,13,2500
35,36,16,33000
33,41,16,500
35,47,16,10000
35,35,16,22000
35,40,16,5000
41,40,16,15000
33,52,16,5000
35,37,14,3500
35,29,16,3200
41,32,16,4000
41,43,16,3000
31,31,16,7700
33,34,16,6000
33,36,16,3980
35,57,16,3000
21,40,16,3500
35,59,16,3500
35,51,16,5000
35,40,16,52000
33,33,16,6000
33,47,16,10000
35,30,16,9500
51,42,14,3000
41,38,16,5500
35,26,16,3400
41,36,16,980
33,36,16,12000
33,33,16,10000
27,44,16,2200
26,57,16,15000
33,57,13,3000
35,26,16,3400
13,26,16,3000
33,34,16,3000
53,50,16,5000
35,39,16,8500
43,53,16,17500
25,32,16,3000
35,35,16,15000
41,51,15,1600
33,42,16,2000
11,54,16,4000
33,27,16,3200
32,52,16,8000
43,51,16,4000
35,31,16,5000
33,40,16,3000
42,40,16,2500
35,36,16,14500
42,45,16,18000
13,32,16,800
31,36,16,11900
33,46,16,1900
33,35,15,3600
33,38,16,5000
53,38,16,5000
42,55,16,5700
33,53,16,10000
24,59,16,4500
41,31,16,3000
41,38,16,5000
53,32,16,1100
17,58,16,12000
51,25,16,1900
53,26,16,2200
42,27,16,4000
33,48,16,2400
42,35,16,7000
42,45,16,2300
33,36,16,8000
26,35,16,2000
35,51,16,3200
33,42,16,2500
41,54,16,1100
41,49,16,5000
31,54,16,3600
43,45,16,15000
35,58,16,4000
35,26,16,4000
33,29,16,5000
52,32,16,7000
42,43,16,4500
35,38,16,3300
51,43,16,4000
32,47,16,12000
42,48,16,3500
41,42,16,6500
41,57,16,6000
42,39,16,5000
43,43,16,10700
42,51,16,8000
53,54,16,5400
12,33,16,20000
33,43,16,26000
33,56,11,3000
35,31,16,2500
35,34,16,10000
41,49,15,5000
53,52,16,10000
43,36,16,6000
14,27,16,6000
41,57,16,6000
33,32,12,4500
11,40,16,4000
27,34,16,1800
41,53,16,30000
41,35,16,1400
50,27,16,25000
53,29,16,13000
43,48,16,16000
33,55,16,18629
29,41,16,9000
52,32,16,2800
35,54,16,10000
35,26,16,2000
33,46,16,1800
25,30,16,5500
27,25,16,1100
33,50,16,2000
53,38,16,22000
51,39,16,5000
53,34,16,5000
29,54,16,5000
43,39,16,12000
42,40,16,2000
53,40,16,11000
26,59,16,9000
53,41,16,15000
53,36,16,4800
53,56,16,9000
35,41,16,10000
17,37,16,1500
53,47,16,20000
53,52,16,22000
53,42,16,5000
52,29,16,1100
33,56,16,2400
33,45,16,5500
25,39,16,2000
31,37,16,5000
53,34,16,8000
53,50,16,12000
43,28,16,5500
33,30,16,3000
26,43,16,5000
53,36,14,7000
53,41,16,20000
35,49,16,25000
53,51,16,3100
33,49,16,6000
41,37,16,2300
29,55,16,4000
53,40,16,5800
35,33,16,2000
14,26,15,1600
43,51,16,4000
41,56,16,12000
43,46,16,11000
29,42,16,1300
53,42,14,12000
33,49,16,1500
32,44,16,2500
53,42,16,15000
35,31,14,2000
11,37,16,3500
35,30,13,5900
53,31,16,10000
53,39,16,16000
53,37,16,15000
35,38,14,2000
31,41,16,8000
53,28,16,6000
43,58,16,8000
53,52,16,30000
26,26,16,2000
52,55,16,3000
35,50,16,3500
13,26,15,1100
31,31,16,3000
35,36,16,10001
41,42,13,2500
53,39,11,3000
22,26,13,6600
43,31,16,1400
53,34,16,10000
23,31,12,2000
35,29,16,4000
41,29,15,2586
13,44,15,3100
50,44,12,3500
43,39,16,2700
13,30,16,2200
13,33,16,800
35,49,16,3000
26,27,16,750
35,26,16,4000
31,47,16,5000
53,58,16,2000
33,29,16,2000
41,48,16,5000
25,29,16,2500
53,40,16,3500
35,27,16,2000
13,34,13,2000
33,40,16,5200
42,45,16,7000
33,50,16,4500
33,47,14,6000
27,42,13,2900
21,28,16,4000
43,54,16,4000
33,28,16,5000
13,28,16,2000
35,30,15,2700
41,46,16,6000
35,32,16,4000
35,27,16,3000
23,28,16,800
35,42,16,5000
35,26,16,4000
35,27,12,1200
31,41,16,5080
33,27,16,5000
35,33,16,8000
14,35,14,1500
29,55,16,5000
16,58,13,6000
11,38,16,5000
53,29,16,8000
29,27,16,4500
23,41,12,1600
43,42,16,11000
23,54,16,2000
52,28,16,6000
35,59,16,6000
35,35,16,5000
11,25,16,400
23,37,12,2500
53,45,16,23000
29,26,16,4200
35,41,16,20000
31,33,16,3000
23,37,12,2000
35,26,16,6000
33,51,12,4000
35,27,16,8000
35,55,16,1300
26,37,16,3000
53,34,16,6600
23,42,16,2000
32,33,16,3500
41,45,16,3000
42,38,16,5000
33,28,16,2500
13,34,16,1000
13,28,16,2100
42,30,16,2500
35,39,15,5000
35,38,12,6000
33,37,12,2000
31,27,14,2000
53,31,15,3500
35,57,16,2500
33,30,16,4500
52,26,16,1500
43,36,16,6000
23,42,16,3400
42,37,16,4000
31,33,16,5000
51,38,16,5000
35,26,16,6000
33,36,12,2000
35,27,16,4000
27,45,16,3000
29,46,16,2700
35,34,16,3000
35,42,16,9000
33,36,16,4710
31,41,16,2000
33,57,12,2000
32,25,16,1500
29,54,16,2500
41,25,12,3000
35,27,16,1600
31,38,16,5000
26,29,12,2900
35,30,16,2500
32,25,15,1600
29,27,14,5200
33,55,16,18000
33,31,16,10000
12,34,15,4000
33,30,16,8000
53,30,16,10000
21,33,16,1100
33,34,16,3000
31,28,16,2000
42,30,14,2500
35,51,16,8000
24,46,12,15000
29,39,14,13000
33,34,12,10000
33,40,16,8000
53,51,16,8000
35,44,16,9000
12,30,12,5000
32,29,16,3000
35,29,16,2000
35,45,16,13000
12,55,7,1300
33,27,16,3000
43,36,16,3000
35,57,16,15000
35,32,16,4025
52,46,16,20000
33,56,16,5000
33,44,16,2500
42,42,16,5000
51,37,16,7000
12,28,16,4000
43,32,16,4000
35,40,16,4500
15,29,16,3200
53,50,16,20000
42,45,13,5000
35,37,14,2460
50,35,16,4000
43,33,16,5000
35,31,16,2500
35,30,16,10000
33,29,16,3000
53,30,16,2800
35,51,16,4000
31,37,16,7750
35,40,16,10000
26,28,16,2500
31,39,16,5000
35,25,13,2100
29,35,16,3500
35,34,13,2200
43,47,16,8000
35,33,14,5000
12,28,12,3000
32,34,16,11000
50,46,16,21000
33,27,16,4500
35,34,16,3500
41,35,12,4500
32,33,16,1100
12,32,14,1100
33,31,16,5000
41,34,16,3000
33,43,12,12000
33,25,16,4500
31,52,16,7000
33,27,16,3500
31,27,16,2100
41,30,16,10000
32,36,16,6200
42,43,16,5500
35,28,16,7500
31,33,14,1600
41,33,16,7000
42,35,16,3100
35,27,14,4955
35,52,16,5000
52,27,16,1600
41,40,16,5000
31,30,16,2500
14,26,16,1100
52,30,16,3500
33,33,12,10000
35,41,14,2800
52,28,15,3000
31,25,14,1100
33,58,16,5000
24,30,16,2600
43,42,16,9000
53,25,16,3500
53,45,16,20000
16,37,16,1800
53,34,16,5000
43,27,14,2000
50,34,10,2500
43,42,16,7500
42,37,16,1350
41,34,16,3000
50,54,16,3000
43,34,16,3500
31,29,16,3500
53,33,16,12000
24,36,16,1100
31,31,16,6000
41,37,16,5300
33,39,16,4100
53,43,16,7000
33,59,16,1000
23,29,16,1500
42,32,16,8000
28,35,16,7000
26,43,16,3200
33,47,16,1200
33,35,16,11000
43,52,16,6000
42,34,16,5500
43,34,16,2500
31,26,16,3000
35,44,16,2500
43,41,16,3500
41,31,16,8000
41,29,14,6000
41,35,16,4000
33,52,16,12000
53,33,16,17000
35,52,14,4000
29,41,15,6000
35,35,16,7000
53,42,16,23000
31,41,16,20000
42,38,16,1200
50,32,16,5700
53,35,16,11000
31,35,16,9000
35,45,16,2000
33,44,16,10000
25,41,16,7000
41,38,16,6200
35,31,16,13300
33,49,16,3200
21,41,16,3000
42,47,14,3200
41,37,16,11000
28,55,15,4000
33,28,16,10000
53,45,16,1000
25,26,16,3000
13,31,16,4000
35,52,16,4000
35,32,16,1800
35,40,16,3000
33,48,16,9500
13,54,16,6000
41,39,16,6000
35,33,16,9000
43,36,16,12000
43,44,16,15000
35,34,16,4000
53,36,16,6000
11,30,16,2000
33,42,16,5000
31,48,16,7500
33,33,16,9777
33,50,16,6000
21,39,16,3500
25,28,16,5000
43,28,16,4400
53,42,14,1700
33,35,16,6000
21,40,16,3500
33,43,16,2800
23,47,16,20000
53,43,16,2000
42,30,16,15000
41,31,14,8000
41,38,16,4400
23,26,16,3000
25,29,16,5000
26,31,16,3000
35,42,16,10001
53,39,16,5000
13,52,16,12000
53,46,14,7000
35,44,16,6000
29,37,16,1100
42,41,14,5000
23,41,16,5000
26,34,16,4000
31,38,14,9000
21,27,16,4500
41,31,16,4400
35,25,16,3800
23,25,16,4500
35,36,16,15000
35,54,16,8000
33,44,16,5000
35,47,16,2500
31,28,14,2200
33,48,16,1200
43,28,16,5000
35,30,16,10500
23,27,16,3000
33,59,16,10000
26,58,16,7000
41,35,16,5100
26,33,16,5000
41,45,16,6000
53,36,16,10000
35,47,16,8000
42,34,16,9000
14,44,16,15000
22,34,16,7000
26,26,16,6200
53,43,16,21000
53,42,14,10000
31,36,16,10000
26,36,16,5000
35,48,16,2500
31,45,16,13000
23,46,15,3000
24,25,16,4950
53,43,16,8500
25,30,16,1500
53,35,16,2000
52,29,16,5500
25,54,16,3500
31,33,16,5500
31,27,16,11000
31,41,16,9700
52,44,16,4000
21,35,16,6500
35,30,16,12000
25,39,16,12000
35,44,16,2500
29,47,16,3500
31,32,16,3000
15,31,16,4000
41,26,14,3500
33,35,15,1650
33,47,15,8000
27,46,16,2200
43,32,16,14000
35,39,14,7000
24,27,16,9800
31,30,16,2800
50,51,16,5000
32,27,16,1250
35,28,16,5000
53,38,16,5000
52,26,16,1600
31,32,16,3500
53,27,16,3000
25,25,16,7090
50,37,15,3000
35,28,16,8000
35,33,16,2000
35,38,16,4300
41,30,16,6300
31,37,16,12500
35,26,16,10000
33,38,16,15000
13,28,16,6000
13,28,16,5500
52,44,16,3000
53,36,16,6000
33,31,16,13000
15,26,16,3300
27,34,16,2000
52,25,16,2000
41,38,16,12000
33,36,16,3000
43,41,16,22000
31,30,16,8000
33,31,16,3700
31,33,14,1980
35,46,15,25000
42,49,16,2000
33,42,16,9350
41,42,16,10000
33,38,16,18000
35,37,16,5000
43,30,16,9500
43,34,16,6000
35,25,16,5500
33,37,16,18000
53,31,16,4500
33,49,16,3000
41,41,16,14000
31,38,16,12500
31,32,16,2185
22,37,16,11000
17,41,16,30000
31,42,16,16000
35,36,16,4000
32,27,16,2600
42,39,15,5000
33,45,16,30000
35,27,16,4000
33,55,16,10000
42,48,16,7500
31,26,16,3000
13,45,16,9000
33,49,16,22000
35,46,16,3600
31,40,16,5000
33,34,15,5000
53,41,16,12688
53,54,16,10000
17,34,16,13500
35,36,16,11000
33,32,16,2500
41,50,16,8500
35,42,16,17000
35,38,14,4000
33,34,16,12000
31,42,16,6000
31,37,16,10000
33,52,16,5000
35,30,16,10000
53,33,16,13000
33,42,16,4500
32,53,16,20000
43,40,15,5150
31,35,16,12000
32,39,16,29000
26,39,16,7400
23,28,16,4247
42,43,16,10000
32,43,16,2600
32,36,16,5000
33,38,16,12000
41,53,16,6000
31,42,16,38000
32,55,16,5000
23,40,15,3600
13,35,16,3000
35,32,14,7500
35,27,15,3000
35,38,16,5500
35,27,16,8000
15,28,16,1300
32,35,16,20000
41,25,16,2300
35,27,16,10000
43,26,14,4000
33,42,14,4000
35,28,16,10500
33,40,16,12000
33,44,16,1600
13,27,16,6000
33,45,16,14900
42,32,16,15000
33,39,16,12000
32,29,16,2500
53,49,16,2000
43,38,16,15000
22,32,16,14000
43,59,16,800
33,43,16,20000
35,33,16,6600
53,38,16,8200
35,49,16,14000
35,37,16,40000
33,44,16,10000
33,36,16,2200
33,45,16,5000
35,37,16,40000
42,56,16,5000
53,43,16,1300
33,58,16,1200
32,50,16,5200
35,26,16,2000
33,48,16,6000
41,43,16,3000
33,48,16,8000
35,43,16,17000
31,44,16,7000
41,38,16,17000
33,46,16,15000
33,33,16,10000
33,52,15,2000
35,41,16,4500
35,42,14,3000
35,49,16,5000
33,27,16,7000
31,37,16,14317
41,44,15,15000
35,25,16,3000
41,35,16,5000
35,52,16,19500
35,39,15,10000
42,43,16,50000
23,28,16,1500
21,30,16,2000
33,57,16,6000
23,29,16,3000
52,36,16,2500
53,37,16,3000
43,30,16,1100
13,40,16,4100
53,32,16,5000
52,48,16,5000
41,37,16,5000
41,42,16,7000
22,30,16,5800
43,33,16,9000
42,47,16,15000
41,43,16,2300
52,42,16,15000
41,26,16,6000
41,53,16,40000
42,32,16,35000
42,40,16,4300
41,44,16,17000
41,52,16,5000
26,47,16,3000
41,34,16,4000
43,35,16,1800
42,52,16,14000
35,28,16,10500
42,35,15,6500
41,27,16,4400
21,40,16,6000
23,33,16,5000
35,25,16,4000
41,53,16,2000
42,43,16,10000
26,38,16,4500
41,56,16,5000
53,37,16,12000
33,36,16,9000
33,35,16,12000
53,35,16,8800
53,41,16,14000
33,45,16,12000
33,51,15,8500
33,26,16,3500
42,44,16,10000
32,40,16,20000
41,37,16,2000
25,45,16,10000
31,36,16,4400
53,33,16,5000
52,39,16,9000
33,32,16,8000
43,39,16,7600
53,45,16,4000
50,33,16,2000
53,53,16,8000
29,39,16,1900
31,35,16,4000
15,27,16,9000
43,30,16,12000
35,35,16,10000
13,27,16,3500
53,33,16,3000
33,32,16,3000
53,32,16,3000
35,53,16,10000
43,40,16,15000
43,25,16,8000
53,48,15,4200
52,46,15,2000
32,31,16,2000
52,47,16,12000
50,30,16,29000
43,41,16,12000
35,35,14,2000
33,29,16,30000
43,35,14,4400
53,42,16,10000
33,26,16,10500
43,33,16,1850
35,45,16,6500
35,37,16,3500
33,32,16,5000
31,40,16,5000
24,41,16,2500
13,33,16,3500
53,58,16,10000
23,28,16,1800
33,49,16,7000
35,54,16,15500
41,36,16,6500
42,38,16,3000
35,36,16,5000
41,36,16,3000
35,42,16,4000
35,56,16,10000
22,42,14,2600
31,38,16,7000
41,26,16,5000
53,30,16,15800
33,26,16,5000
31,33,16,7500
35,56,16,30000
32,32,16,6000
24,42,16,8500
28,30,16,15000
43,53,16,10000
52,33,16,2500
35,57,16,7000
43,44,16,15000
16,25,16,1000
29,46,16,8000
27,54,16,2200
16,31,16,2000
41,47,16,35000
43,30,16,8000
41,38,16,10000
53,26,16,1800
53,33,16,3000
21,35,16,10000
43,58,16,10000
41,33,16,16000
50,36,16,2000
35,55,16,8000
14,29,16,4000
33,35,16,1000
12,35,16,3000
12,28,16,5200
27,39,16,15000
15,47,16,10000
53,52,16,18000
53,34,16,2200
12,44,16,15000
29,53,16,2729
12,48,16,25000
33,38,16,3000
33,37,16,6000
23,30,16,3500
43,31,16,7000
43,41,16,35000
14,40,16,7000
15,41,16,3000
43,43,16,20000
13,42,16,6600
43,33,14,5000
42,26,16,6000
27,39,16,3000
15,34,16,3000
25,25,16,1500
43,48,16,8000
16,28,16,1600
53,44,16,15000
16,38,16,2100
42,48,16,5000
17,30,16,10000
25,35,16,3000
33,56,16,5000
13,33,16,2000
35,47,16,11000
23,52,16,6000
50,41,16,10000
25,25,16,2500
27,44,16,2000
21,25,16,4000
33,41,16,1100
51,44,16,2500
12,27,16,5000
16,38,16,5000
41,40,16,5000
41,39,16,500
43,39,16,3000
32,44,16,3000
14,49,16,15000
14,32,16,4000
33,47,16,11000
32,37,16,5000
28,48,9,1100
50,49,16,18000
15,37,16,13360
31,51,16,20000
12,41,16,36000
27,25,14,1600
13,50,16,3000
28,48,16,6400
43,45,16,3000
24,51,16,12000
35,27,16,4000
33,33,16,2500
50,33,16,6000
53,28,16,1100
13,40,16,5500
11,33,16,2000
15,52,16,5000
31,48,16,3000
27,27,16,1000
17,34,16,3000
33,35,16,1600
52,26,16,2700
27,32,16,4400
35,54,16,6000
35,43,16,20000
21,26,16,5000
53,47,16,1000
28,25,16,2000
29,27,16,1200
33,40,16,17000
42,38,16,10000
26,33,16,3500
15,34,16,2500
33,47,16,2200
35,40,16,1100
25,40,16,3000
28,58,16,5000
27,27,16,10000
31,29,16,1000
16,48,16,19000
33,54,16,15000
43,27,16,3600
14,33,16,16000
35,33,16,1100
21,26,16,1336
33,50,16,3500
21,38,16,3000
35,30,16,6000
35,33,16,7000
33,46,16,3000
50,34,16,10000
22,27,16,1000
25,59,16,4000
25,48,16,19000
52,43,16,16740
22,28,16,3000
21,33,16,2000
22,37,16,3000
41,56,16,7000
50,27,16,1500
12,27,16,5000
33,36,16,2800
12,39,16,4777
25,27,16,3454
35,38,16,9500
53,44,16,8000
33,34,16,12000
50,57,16,6000
25,52,16,20429
33,28,16,6000
22,28,16,1500
31,38,16,8400
23,44,16,3000
41,41,16,10000
41,25,16,2000
35,33,16,3000
31,26,16,1100
22,37,16,4000
28,52,16,3000
27,34,16,6000
32,29,16,1500
33,54,16,10000
33,31,16,4000
17,37,16,5000
53,28,16,3500
33,29,16,9000
53,51,16,7000
33,33,16,4000
41,41,16,7000
50,50,16,10000
35,37,16,3000
24,57,16,25000
35,27,16,4000
53,32,16,6500
15,39,16,10000
23,30,16,3000
52,57,16,15000
27,49,16,20000
16,40,16,20000
52,47,16,3000
23,26,16,1500
33,43,16,4000
31,30,16,3500
52,31,16,10000
43,43,16,1900
43,38,16,9000
29,31,16,6000
43,56,16,21000
32,28,16,1500
53,34,16,4500
41,26,16,2000
51,30,16,3000
29,46,16,1200
25,31,16,150000
33,51,16,8000
35,35,16,2200
25,39,16,5000
22,33,16,6000
32,42,16,14000
33,41,16,15000
41,34,16,3000
25,37,16,3500
27,52,16,14000
22,41,16,7000
41,41,16,20000
33,26,16,25000
43,43,16,6000
31,43,16,2000
53,51,16,1100
26,39,16,5000
42,48,16,3500
50,42,16,10000
41,36,16,1600
27,44,16,8000
12,38,16,7000
33,38,16,1500
33,25,16,2500
31,29,16,4000
28,41,16,1000
31,53,16,38000
53,44,16,29000
13,54,16,5500
25,39,16,2000
51,47,16,3000
42,50,16,10000
33,41,16,7500
43,39,16,3000
29,25,16,1500
24,32,16,3000
53,53,16,30000
25,35,16,3500
17,28,16,3500
23,25,16,3000
41,31,16,8000
29,36,16,1700
53,52,16,10000
26,27,16,3000
28,41,16,2500
26,59,16,55000
23,59,16,30000
31,35,16,2300
23,27,16,1900
33,53,16,9450
33,51,16,4000
15,54,16,10000
50,41,16,15000
21,26,16,2000
32,56,16,14000
29,32,16,1000
33,49,16,15000
21,25,16,11300
33,33,16,4000
35,46,16,30000
42,31,16,5500
13,30,16,1500
27,38,16,9000
22,37,16,3000
33,27,16,4000
53,26,16,15000
25,34,16,25000
43,50,16,30000
43,29,16,3000
25,49,16,2200
12,27,16,1000
31,50,16,2000
53,28,16,3000
24,43,16,2000
43,28,16,12000
52,28,16,1300
43,59,16,3300
21,30,16,4500
35,33,16,6300
33,45,16,5500
53,58,16,8000
53,57,16,19000
24,32,16,3000
22,55,16,5000
27,32,16,4000
31,56,16,10000
35,45,16,15000
27,31,16,550
28,56,16,25000
17,32,16,1100
43,48,16,4500
33,30,16,2000
41,44,16,100
35,54,16,34000
31,29,16,2000
32,32,16,5000
43,32,16,6000
52,39,16,3000
22,35,16,7000
31,59,16,5700
31,37,16,15000
32,40,16,4000
22,25,16,2000
32,53,16,3000
41,26,16,10000
27,38,16,8000
50,42,16,10000
41,45,16,1500
29,35,16,6000
23,26,16,2500
52,38,16,12000
31,48,16,17000
41,50,16,24000
27,35,16,2000
23,39,16,2000
28,54,16,3000
35,47,16,6000
29,29,16,1100
12,33,16,6000
29,32,16,4000
50,40,16,13000
16,55,16,20000
27,37,16,15000
25,33,16,3000
52,34,16,10000
12,32,16,5000
35,52,16,3500
33,36,16,10000
32,39,16,7000
31,36,16,20000
15,49,16,13000
31,40,16,500
41,25,16,5000
50,25,16,2500
33,48,16,8000
26,45,16,20000
27,45,16,7000
35,40,16,10000
33,46,16,5500
33,44,16,4000
13,33,16,2000
28,45,16,4000
53,47,16,20000
43,37,16,10000
33,35,16,7334
43,39,16,5600
26,49,16,10000
28,44,16,14000
33,28,16,3000
35,37,16,3000
25,33,16,2500
12,37,16,3000
33,25,16,1100
33,41,16,25000
33,35,16,5000
43,42,16,3000
35,58,16,2000
42,27,16,3500
43,38,16,2000
53,47,16,20000
35,42,16,4000
31,53,16,500
33,34,16,4000
52,52,16,23000
35,56,16,4000
33,48,16,12000
32,58,16,10000
33,58,16,25000
33,59,16,5000
43,34,16,2500
16,51,16,10000
22,51,16,15000
31,26,16,1100
43,58,16,5000
33,34,16,12000
42,44,16,15000
33,32,16,13000
35,46,14,2000
41,27,16,5300
33,48,16,2500
12,32,16,7000
33,36,16,20000
35,44,16,13000
33,30,16,13000
43,42,16,35000
31,41,16,8000
31,33,16,1500
31,56,16,3000
42,32,16,2500
41,29,14,5000
41,25,16,2000
33,31,16,3500
24,30,16,2400
33,56,16,5000
35,41,16,5000
51,42,16,5000
50,32,16,11200
26,31,16,10500
31,37,16,2000
13,55,16,2000
32,33,16,6300
28,36,16,13000
33,40,16,1600
23,58,16,23000
28,32,16,3000
33,30,16,2000
13,41,16,12000
33,35,16,10000
43,29,16,3000
13,41,16,3000
42,39,16,13000
33,31,16,2200
27,59,16,25000
27,31,16,4500
29,36,16,2900
53,35,16,5000
35,44,16,30000
33,25,16,1200
50,56,16,15000
35,41,16,2000
32,44,16,20000
13,34,16,6000
33,48,16,5000
41,37,16,7000
33,57,16,2200
42,31,16,11000
50,55,16,10000
25,35,16,2000
31,45,16,2500
26,49,16,50000
32,46,16,5000
32,45,16,15000
53,40,16,18000
32,41,16,3500
50,51,16,30000
33,29,16,8000
26,41,16,5000
31,50,16,8000
43,26,16,1200
33,45,16,6000
43,43,16,5000
22,51,16,5000
31,29,16,3500
26,38,16,8000
32,43,16,1100
24,37,16,1000
31,39,16,5000
50,44,16,23000
32,33,16,16000
33,25,16,3000
41,47,16,2500
35,31,16,4000
32,42,16,3000
32,57,16,1100
33,41,16,32000
22,44,16,15000
33,33,16,4000
17,38,16,1000
41,49,16,5000
23,56,16,5000
41,37,16,6000
41,30,16,6000
33,37,16,9000
33,44,16,2200
24,38,16,6000
33,43,16,4000
24,41,16,18000
24,31,16,1600
15,51,16,6000
53,45,16,28000
35,37,16,4000
35,39,16,500
31,37,16,600
29,42,16,11000
33,36,16,8000
35,37,16,4800
41,47,16,5000
53,55,14,4500
33,42,16,1400
11,40,16,4000
42,36,16,7000
42,39,16,9000
33,40,16,2800
31,40,16,3000
35,48,16,11000
33,46,16,2000
26,49,16,6000
53,26,16,5000
17,34,16,10000
41,38,16,3500
33,51,16,10000
33,25,16,2200
41,27,16,5000
43,49,16,27000
11,32,16,8000
51,34,16,4500
17,28,16,600
43,45,16,9000
42,39,16,14000
42,48,16,6000
33,33,16,1770
35,42,16,1500
33,36,16,7900
35,43,16,6000
52,48,16,7000
35,43,16,5000
35,41,16,1600
31,34,16,3000
53,43,16,31000
43,46,16,2000
21,46,16,25000
21,39,16,2500
35,32,16,5000
35,25,16,7500
43,31,16,13000
41,26,16,2800
23,45,15,3000
35,34,14,1500
52,56,16,5000
33,54,16,4000
33,30,16,10000
35,32,16,14000
35,44,16,5000
12,54,16,12270
53,39,16,9000
52,52,16,2000
35,43,16,9000
33,30,16,7500
35,42,16,2500
31,34,16,10000
43,48,16,20000
22,29,16,2500
13,44,16,12000
33,40,16,2500
23,53,16,3000
33,27,16,2000
43,44,16,6000
33,59,16,10000
41,41,16,4158
41,37,16,8000
41,29,16,2000
33,28,16,5000
53,53,16,28000
35,47,16,3000
32,32,16,5000
22,38,16,3000
26,48,16,8000
41,37,16,15000
35,48,16,19000
11,46,16,3300
12,57,16,13000
33,41,16,6000
41,47,16,20000
32,25,16,2000
17,40,16,15000
33,43,16,20000
33,40,16,3400
33,44,16,1800
33,29,16,4000
43,42,16,18000
22,37,16,1900
35,30,16,5000
35,43,16,3000
53,32,16,3000
33,49,16,10000
43,51,16,33000
27,33,16,1000
29,28,16,2000
33,49,16,12000
22,49,16,18000
43,44,16,10000
29,50,16,10000
43,53,16,22000
43,46,16,30000
41,43,16,2000
24,42,16,5000
50,41,16,6000
12,39,16,4000
43,46,16,4000
14,29,16,2200
31,34,16,8400
43,40,16,6600
32,40,16,7000
42,47,16,8000
50,36,16,1350
53,50,16,25000
35,56,14,6000
41,30,16,1000
33,52,16,10000
29,36,16,2500
21,34,16,1100
25,43,16,20000
41,55,16,25000
41,45,16,4000
43,37,16,4000
27,37,16,5000
22,29,16,2000
13,58,16,10000
41,49,16,6000
29,26,16,1600
24,33,16,5500
29,57,16,15000
12,36,16,6000
17,29,16,3500
